Rank,Player,Age,Tm,Voting_First,Voting_Pts Won,Voting_Pts Max,Voting_Share,G,Per Game_MP,Per Game_PTS,Per Game_TRB,Per Game_AST,Per Game_STL,Per Game_BLK,Shooting_FG%,Shooting_3P%,Shooting_FT%,Advanced_WS,Advanced_WS/48,season_end_year,season
1,Shai Gilgeous-Alexander,26,OKC,71,913,1000,0.913,76,34.2,32.7,5.0,6.4,1.7,1.0,0.519,0.375,0.898,16.7,0.309,2025,2024-25
2,Nikola Jokić,29,DEN,29,787,1000,0.787,70,36.7,29.6,12.7,10.2,1.8,0.6,0.576,0.417,0.8,16.4,0.307,2025,2024-25
3,Giannis Antetokounmpo,30,MIL,0,470,1000,0.47,67,34.2,30.4,11.9,6.5,0.9,1.2,0.601,0.222,0.617,11.5,0.241,2025,2024-25
4,Jayson Tatum,26,BOS,0,311,1000,0.311,72,36.4,26.8,8.7,6.0,1.1,0.5,0.452,0.343,0.814,9.5,0.174,2025,2024-25
5,Donovan Mitchell,28,CLE,0,74,1000,0.074,71,31.4,24.0,4.5,5.0,1.3,0.2,0.443,0.368,0.823,7.6,0.163,2025,2024-25
6,LeBron James,40,LAL,0,16,1000,0.016,70,34.9,24.4,7.8,8.2,1.0,0.6,0.513,0.376,0.782,7.7,0.152,2025,2024-25
7T,Cade Cunningham,23,DET,0,12,1000,0.012,70,35.0,26.1,6.1,9.1,1.0,0.8,0.469,0.356,0.846,5.9,0.115,2025,2024-25
7T,Anthony Edwards,23,MIN,0,12,1000,0.012,79,36.3,27.6,5.7,4.5,1.2,0.6,0.447,0.395,0.837,8.4,0.14,2025,2024-25
9,Stephen Curry,36,GSW,0,2,1000,0.002,70,32.2,24.5,4.4,6.0,1.1,0.4,0.448,0.397,0.933,7.9,0.168,2025,2024-25
10T,Jalen Brunson,28,NYK,0,1,1000,0.001,65,35.4,26.0,2.9,7.3,0.9,0.1,0.488,0.383,0.821,8.3,0.172,2025,2024-25
10T,James Harden,35,LAC,0,1,1000,0.001,79,35.3,22.8,5.8,8.7,1.5,0.7,0.41,0.352,0.874,8.3,0.143,2025,2024-25
10T,Evan Mobley,23,CLE,0,1,1000,0.001,71,30.5,18.5,9.3,3.2,0.9,1.6,0.557,0.37,0.725,9.0,0.2,2025,2024-25
