Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Conference,season_end_year,season
Oklahoma City Thunder*,68,14,0.829,—,120.5,107.6,12.7,West,2025,2024-25
Houston Rockets*,52,30,0.634,16.0,114.3,109.8,4.97,West,2025,2024-25
Los Angeles Lakers*,50,32,0.61,18.0,113.4,112.2,1.45,West,2025,2024-25
Denver Nuggets*,50,32,0.61,18.0,120.8,116.9,3.97,West,2025,2024-25
Los Angeles Clippers*,50,32,0.61,18.0,112.9,108.2,4.84,West,2025,2024-25
Minnesota Timberwolves*,49,33,0.598,19.0,114.3,109.3,5.15,West,2025,2024-25
Golden State Warriors*,48,34,0.585,20.0,113.8,110.5,3.56,West,2025,2024-25
Memphis Grizzlies*,48,34,0.585,20.0,121.7,116.9,4.79,West,2025,2024-25
Sacramento Kings,40,42,0.488,28.0,115.7,115.3,0.58,West,2025,2024-25
Dallas Mavericks,39,43,0.476,29.0,114.2,115.4,-0.74,West,2025,2024-25
Phoenix Suns,36,46,0.439,32.0,113.6,116.6,-2.55,West,2025,2024-25
Portland Trail Blazers,36,46,0.439,32.0,110.9,113.9,-2.67,West,2025,2024-25
San Antonio Spurs,34,48,0.415,34.0,113.9,116.7,-2.45,West,2025,2024-25
New Orleans Pelicans,21,61,0.256,47.0,109.8,119.3,-8.59,West,2025,2024-25
Utah Jazz,17,65,0.207,51.0,111.9,121.2,-8.51,West,2025,2024-25
