Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,season_end_year,season
1.0,Devin Booker,29.0,PHO,SG,14.0,14.0,501.0,13.3,26.8,0.495,2.7,7.9,0.341,10.5,18.9,0.559,0.545,9.3,10.4,0.897,1.5,4.1,5.5,9.5,1.1,0.4,5.4,3.9,38.5,121.0,119.0,,2026,2025-26
2.0,Franz Wagner,24.0,ORL,SF,14.0,14.0,501.0,10.1,22.0,0.461,2.4,6.7,0.357,7.8,15.3,0.506,0.515,8.3,10.1,0.829,2.5,5.9,8.4,5.2,1.5,0.6,2.8,3.4,31.0,121.0,114.0,,2026,2025-26
3.0,Tyrese Maxey,25.0,PHI,PG,12.0,12.0,484.0,12.6,27.8,0.454,4.6,10.9,0.418,8.0,16.9,0.476,0.536,8.3,9.4,0.884,0.4,5.7,6.1,9.3,1.7,1.0,3.0,3.2,38.1,126.0,116.0,,2026,2025-26
4.0,Cooper Flagg,19.0,DAL,PG,14.0,14.0,478.0,8.2,18.4,0.447,1.5,5.4,0.273,6.8,13.0,0.519,0.487,3.4,4.3,0.795,1.6,7.6,9.2,4.4,1.9,1.1,3.1,3.3,21.3,102.0,111.0,,2026,2025-26
5.0,DeMar DeRozan,36.0,SAC,PF,14.0,14.0,476.0,9.8,19.5,0.5,1.3,3.3,0.394,8.5,16.3,0.521,0.533,5.1,6.0,0.852,0.7,3.8,4.5,4.8,1.6,0.2,1.4,2.8,25.9,120.0,124.0,,2026,2025-26
6.0,Shai Gilgeous-Alexander,27.0,OKC,PG,14.0,14.0,470.0,16.1,30.3,0.531,3.2,8.6,0.373,12.9,21.8,0.592,0.583,11.7,13.0,0.897,0.5,6.8,7.3,9.6,2.0,1.3,2.4,2.6,47.0,135.0,105.0,,2026,2025-26
7.0,Lauri Markkanen,28.0,UTA,PF,13.0,13.0,470.0,13.5,28.3,0.479,5.0,12.7,0.389,8.6,15.6,0.552,0.566,8.2,9.3,0.88,3.0,5.1,8.1,2.7,1.2,0.7,1.8,2.5,40.2,128.0,121.0,,2026,2025-26
8.0,Trey Murphy III,25.0,NOP,SF,13.0,13.0,465.0,9.4,20.6,0.456,3.8,10.6,0.356,5.6,9.9,0.564,0.549,4.6,5.0,0.936,2.3,7.2,9.5,4.5,1.9,0.2,2.8,3.1,27.2,119.0,123.0,,2026,2025-26
9.0,Derrick White,31.0,BOS,SG,14.0,14.0,461.0,8.3,23.4,0.356,4.0,13.1,0.306,4.3,10.3,0.421,0.442,3.6,4.3,0.825,1.4,4.5,6.0,8.2,2.6,1.8,1.8,2.6,24.3,113.0,113.0,,2026,2025-26
10.0,Dyson Daniels,22.0,ATL,SG,14.0,14.0,459.0,5.4,11.6,0.469,0.3,1.3,0.231,5.1,10.3,0.5,0.482,1.3,2.2,0.619,2.4,5.9,8.2,8.4,3.3,0.6,3.0,3.7,12.5,108.0,110.0,,2026,2025-26
