Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Conference,season_end_year,season
Detroit Pistons (1),11,2,0.846,—,118.2,112.2,5.22,East,2026,2025-26
New York Knicks (2),8,4,0.667,2.5,122.1,115.3,6.6,East,2026,2025-26
Atlanta Hawks (3),9,5,0.643,2.5,117.6,114.0,3.27,East,2026,2025-26
Cleveland Cavaliers (4),9,5,0.643,2.5,121.1,116.9,5.02,East,2026,2025-26
Toronto Raptors (5),8,5,0.615,3.0,120.5,115.7,4.43,East,2026,2025-26
Philadelphia 76ers (6),7,5,0.583,3.5,119.3,116.6,3.44,East,2026,2025-26
Milwaukee Bucks (7),8,6,0.571,3.5,118.4,118.8,-1.54,East,2026,2025-26
Miami Heat (8),7,6,0.538,4.0,125.3,122.2,5.22,East,2026,2025-26
Chicago Bulls (9),6,6,0.5,4.5,121.0,121.5,1.95,East,2026,2025-26
Boston Celtics (10),7,7,0.5,4.5,113.8,109.2,4.72,East,2026,2025-26
Orlando Magic (11),7,7,0.5,4.5,115.5,114.0,2.98,East,2026,2025-26
Charlotte Hornets (12),4,9,0.308,7.0,117.2,120.5,-4.24,East,2026,2025-26
Brooklyn Nets (13),2,11,0.154,9.0,110.5,121.9,-10.18,East,2026,2025-26
Indiana Pacers (14),1,12,0.077,10.0,108.7,123.2,-14.09,East,2026,2025-26
Washington Wizards (15),1,12,0.077,10.0,112.9,129.6,-15.27,East,2026,2025-26
